time_display,time_raw,src_host,src_port,dst_host,dst_port,sniffed,target_domain,ip,network,outbound,dialer,policy,dscp,mac,pid,pname,app,raw_line
2026-01-22 01:09:07,Jan 21 17:09:07,192.168.100.110,38158,76.223.92.165,443,,76.223.92.165,76.223.92.165:443,tcp4,proxy,sing-box-10000,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:09:07"" level=info msg=""192.168.100.110:38158 <-> 76.223.92.165:443"" dialer=sing-box-10000 dscp=0 ip=""76.223.92.165:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=proxy pid=0 pname= policy=fixed sniffed="
2026-01-22 01:09:07,Jan 21 17:09:07,192.168.100.110,39886,mon31-normal-useast1a.tiktokv.com,443,mon31-normal-useast1a.tiktokv.com,mon31-normal-useast1a.tiktokv.com,199.103.24.2:443,tcp4,tiktok,日本家宽,fixed,0,94:83:c4:ab:9e:b4,0,,TikTok,"time=""Jan 21 17:09:07"" level=info msg=""192.168.100.110:39886 <-> mon31-normal-useast1a.tiktokv.com:443"" dialer=""日本家宽"" dscp=0 ip=""199.103.24.2:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=tiktok pid=0 pname= policy=fixed sniffed=mon31-normal-useast1a.tiktokv.com"
2026-01-22 01:09:07,Jan 21 17:09:07,192.168.100.110,46920,91.108.56.115,5222,,91.108.56.115,91.108.56.115:5222,tcp4,fast,HK-3,min_avg10,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:09:07"" level=info msg=""192.168.100.110:46920 <-> 91.108.56.115:5222"" dialer=HK-3 dscp=0 ip=""91.108.56.115:5222"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=fast pid=0 pname= policy=min_avg10 sniffed="
2026-01-22 01:09:07,Jan 21 17:09:07,192.168.100.110,48026,91.108.56.134,5222,,91.108.56.134,91.108.56.134:5222,tcp4,fast,HK-3,min_avg10,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:09:07"" level=info msg=""192.168.100.110:48026 <-> 91.108.56.134:5222"" dialer=HK-3 dscp=0 ip=""91.108.56.134:5222"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=fast pid=0 pname= policy=min_avg10 sniffed="
2026-01-22 01:09:08,Jan 21 17:09:08,192.168.100.110,39922,webcast16-normal-c-alisg.tiktokv.com,443,webcast16-normal-c-alisg.tiktokv.com,webcast16-normal-c-alisg.tiktokv.com,199.103.24.2:443,tcp4,tiktok,日本家宽,fixed,0,94:83:c4:ab:9e:b4,0,,TikTok,"time=""Jan 21 17:09:08"" level=info msg=""192.168.100.110:39922 <-> webcast16-normal-c-alisg.tiktokv.com:443"" dialer=""日本家宽"" dscp=0 ip=""199.103.24.2:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=tiktok pid=0 pname= policy=fixed sniffed=webcast16-normal-c-alisg.tiktokv.com"
2026-01-22 01:09:08,Jan 21 17:09:08,192.168.100.110,39924,mon31-normal-useast1a.tiktokv.com,443,mon31-normal-useast1a.tiktokv.com,mon31-normal-useast1a.tiktokv.com,199.103.24.2:443,tcp4,tiktok,日本家宽,fixed,0,94:83:c4:ab:9e:b4,0,,TikTok,"time=""Jan 21 17:09:08"" level=info msg=""192.168.100.110:39924 <-> mon31-normal-useast1a.tiktokv.com:443"" dialer=""日本家宽"" dscp=0 ip=""199.103.24.2:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=tiktok pid=0 pname= policy=fixed sniffed=mon31-normal-useast1a.tiktokv.com"
2026-01-22 01:09:08,Jan 21 17:09:08,192.168.100.110,42982,storage.signal.org,443,storage.signal.org,storage.signal.org,142.250.197.51:443,tcp4,proxy,sing-box-10000,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:09:08"" level=info msg=""192.168.100.110:42982 <-> storage.signal.org:443"" dialer=sing-box-10000 dscp=0 ip=""142.250.197.51:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=proxy pid=0 pname= policy=fixed sniffed=storage.signal.org"
2026-01-22 01:09:08,Jan 21 17:09:08,192.168.100.110,48426,34.102.215.99,443,,34.102.215.99,34.102.215.99:443,tcp4,proxy,sing-box-10000,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:09:08"" level=info msg=""192.168.100.110:48426 <-> 34.102.215.99:443"" dialer=sing-box-10000 dscp=0 ip=""34.102.215.99:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=proxy pid=0 pname= policy=fixed sniffed="
2026-01-22 01:09:08,Jan 21 17:09:08,192.168.100.110,49386,log16-normal-alisg.tiktokv.com,443,log16-normal-alisg.tiktokv.com,log16-normal-alisg.tiktokv.com,23.43.50.106:443,tcp4,tiktok,日本家宽,fixed,0,94:83:c4:ab:9e:b4,0,,TikTok,"time=""Jan 21 17:09:08"" level=info msg=""192.168.100.110:49386 <-> log16-normal-alisg.tiktokv.com:443"" dialer=""日本家宽"" dscp=0 ip=""23.43.50.106:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=tiktok pid=0 pname= policy=fixed sniffed=log16-normal-alisg.tiktokv.com"
2026-01-22 01:09:10,Jan 21 17:09:10,192.168.100.110,48450,34.102.215.99,443,,34.102.215.99,34.102.215.99:443,tcp4,proxy,sing-box-10000,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:09:10"" level=info msg=""192.168.100.110:48450 <-> 34.102.215.99:443"" dialer=sing-box-10000 dscp=0 ip=""34.102.215.99:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=proxy pid=0 pname= policy=fixed sniffed="
2026-01-22 01:09:10,Jan 21 17:09:10,192.168.100.110,48456,34.102.215.99,443,,34.102.215.99,34.102.215.99:443,tcp4,proxy,sing-box-10000,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:09:10"" level=info msg=""192.168.100.110:48456 <-> 34.102.215.99:443"" dialer=sing-box-10000 dscp=0 ip=""34.102.215.99:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=proxy pid=0 pname= policy=fixed sniffed="
2026-01-22 01:09:12,Jan 21 17:09:12,192.168.100.110,39852,frontier.tiktokv.com,443,frontier.tiktokv.com,frontier.tiktokv.com,199.103.24.2:443,tcp4,tiktok,日本家宽,fixed,0,94:83:c4:ab:9e:b4,0,,TikTok,"time=""Jan 21 17:09:12"" level=info msg=""192.168.100.110:39852 <-> frontier.tiktokv.com:443"" dialer=""日本家宽"" dscp=0 ip=""199.103.24.2:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=tiktok pid=0 pname= policy=fixed sniffed=frontier.tiktokv.com"
2026-01-22 01:09:13,Jan 21 17:09:13,192.168.100.110,38668,api22-normal-c-alisg.tiktokv.com,443,api22-normal-c-alisg.tiktokv.com,api22-normal-c-alisg.tiktokv.com,34.36.65.236:443,tcp4,tiktok,日本家宽,fixed,0,94:83:c4:ab:9e:b4,0,,TikTok,"time=""Jan 21 17:09:13"" level=info msg=""192.168.100.110:38668 <-> api22-normal-c-alisg.tiktokv.com:443"" dialer=""日本家宽"" dscp=0 ip=""34.36.65.236:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=tiktok pid=0 pname= policy=fixed sniffed=api22-normal-c-alisg.tiktokv.com"
2026-01-22 01:09:13,Jan 21 17:09:13,192.168.100.110,48442,34.102.215.99,443,,34.102.215.99,34.102.215.99:443,tcp4,proxy,sing-box-10000,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:09:13"" level=info msg=""192.168.100.110:48442 <-> 34.102.215.99:443"" dialer=sing-box-10000 dscp=0 ip=""34.102.215.99:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=proxy pid=0 pname= policy=fixed sniffed="
2026-01-22 01:09:16,Jan 21 17:09:16,192.168.100.110,42342,guc3-dealer.g2.spotify.com,443,guc3-dealer.g2.spotify.com,guc3-dealer.g2.spotify.com,35.186.224.36:443,tcp4,ai,att,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:09:16"" level=info msg=""192.168.100.110:42342 <-> guc3-dealer.g2.spotify.com:443"" dialer=att dscp=0 ip=""35.186.224.36:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=ai pid=0 pname= policy=fixed sniffed=guc3-dealer.g2.spotify.com"
2026-01-22 01:09:17,Jan 21 17:09:17,192.168.100.110,48846,guc3-spclient.spotify.com,443,guc3-spclient.spotify.com,guc3-spclient.spotify.com,35.186.224.31:443,tcp4,ai,att,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:09:17"" level=info msg=""192.168.100.110:48846 <-> guc3-spclient.spotify.com:443"" dialer=att dscp=0 ip=""35.186.224.31:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=ai pid=0 pname= policy=fixed sniffed=guc3-spclient.spotify.com"
